Banner Name,Site Code,Site Name,Status,Activity Date,Does the store have a glass cabinet?,Where you able to find the flyer? ,Provide notes and what was discussed with the store staff if the flyer was not found.,Where you able to locate the shipper?,Provide comments if the shipper was not located. Refer to the help for what is required here.,Have you found any off locations in this store today?,Have you located the Racing Section in this store?,Comments
JB Hi Fi,OMS8766,ADELAIDE DOMESTIC AIRPORT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB026,ADELAIDE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB154,AIRPORT WEST JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB118,ALBURY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB196,ALTONA JB HIFI,Completed, 14/03/2025,No,Yes,Flyer is still displayed,Yes,,Yes,Yes,No issues were encountered in this store
JB Hi Fi,JB170,ARMADALE JB HI-FI,Completed,0k                                                      ,Yes,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB131,ARTARMON JB HI-FI,Completed, 18/03/2025,No,No,Discussed staff are focusing on stocktake,Yes,N/A,Yes,Yes,Store is in the middle of stocktake they do not want anything moved or touched.
JB Hi Fi,JB229,AUSTRALIA FAIR JB HI-FI,Completed, 14/03/2025,Yes,Yes,,Yes,,No,Yes,
JB Hi Fi,JB073,BALLARAT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB160,BANKSTOWN JB HI-FI,Completed, 14/03/2025,No,No,"I spoke to Heather, and she's going to print the flyer and put it on display.",Yes,,Yes,Yes,
JB Hi Fi,JB227,BATHURST JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB039,BELCONNEN JB HI-FI,Completed, 14/03/2025,No,No,,Yes,,No,Yes,
JB Hi Fi,JB206,BELMONT HOME JB HIFI,Completed, 12/03/2025,Yes,Yes,,Yes,,No,Yes,
JB Hi Fi,JB132,BELROSE JB HI-FI,Completed, 11/03/2025,No,Yes,Not up in Xbox section.,Yes,,Yes,Yes,
JB Hi Fi,JB134,BENDIGO JB HI-FI,Completed, 13/03/2025,No,No,,No,,Yes,Yes,Mx keys advanced wireless illuminated keyboard display missing keys / needs replacement
JB Hi Fi,JB175,BERRIMAH JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB082,BLACKTOWN JB HI-FI,Completed, 10/03/2025,No,Yes,,No,"The store is undergoing a refit from 17/3/25 for 5 weeks, therefore stock has begun to be cleared. ",Yes,Yes,Sam requested an up to date ultimate eats display as the ones the store currently have are obsolete. Also with the store refit it would be beneficial to have an updated display. 
JB Hi Fi,JB033,BONDI JUNCTION JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB148,BOORAGOON JB HI-FI,Completed, 14/03/2025,No,No,Said they changed them yesterday had new flyers come in ,No,,Yes,Yes,Store preparing for stock take. Ultimate ears display speakers not working
JB Hi Fi,JB004,BRIGHTON  JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB129,BRISBANE CENTRAL JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB014,BRISBANE CITY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB133,BRISBANE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB063,BROADMEADOWS JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB178,BROADWAY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB139,BROWNS PLAINS JB HI-FI,Completed, 14/03/2025,No,Yes,,Yes,,Yes,Yes,Shelves were tidy on visit. Lots of sales and promotions at the moment and flyers expire in the 23 march. 
JB Hi Fi,JB183,BRUNSWICK JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB144,BUNBURY HOME JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB171,BUNDABERG JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB018,BUNDALL HOME JB HIFI,Completed, 11/03/2025,Yes,Yes,,Yes,N/A,Yes,Yes,
JB Hi Fi,JB225,BURLEIGH HEADS JB HIFI,Completed, 14/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,OMS8767,BURNSIDE HOME JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB091,CAIRNS JB HI-FI,Completed, 20/03/2025,Yes,No,Couldn't locate but found promotions and promotional poster ,Yes,,No,Yes,
JB Hi Fi,JB138,CAIRNS STOCKLAND JB HI-FI,Completed, 13/03/2025,No,Yes,"Yes, flyers hanging ",Yes,,No,Yes,"All   products are stocked well and areas tidied, promotions showing"
JB Hi Fi,JB002,CAMBERWELL  JB HI-FI,Completed, 11/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB034,CANBERRA CITY JB HI-FI,Completed, 13/03/2025,Yes,No,Store did not receive and promo has finished ,Yes,,No,Yes,All departments well stocked and maintained by store
JB Hi Fi,JB029,CANNINGTON HOME JB HI-FI,Completed, 12/03/2025,No,No,Don't have any,No,Don't have ..other were taken down,No,Yes,
JB Hi Fi,JB015,CAPALABA JB HI-FI,Completed, 14/03/2025,No,Yes,Next to games discs for sale,Yes,,Yes,Yes,"Tidy store with helpful staff. No gaps on shelf. Staff commented MX Masters  always running out. Also flight simulator gear has been requested. Rhino x52 and HOTAS would sell inshore  not pedals, wheels "
JB Hi Fi,JB064,CARINDALE WESTFIELD  JB HI-FI,Completed, 10/03/2025,No,Yes,,Yes,,No,Yes,
JB Hi Fi,JB157,CARINGBAH JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB095,CAROUSEL JB HI-FI,Completed, 14/03/2025,Yes,Yes,,Yes,,No,Yes,
JB Hi Fi,JB104,CARSELDINE JB HIFI,Completed, 21/03/2025,Yes,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB053,Castle Hill JB HI-FI,Completed, 11/03/2025,No,Yes,,No,They will have it up next time,Yes,Yes,
JB Hi Fi,JB192,CASTLE TOWERS JB HI-FI,Completed, 11/03/2025,No,No,,Yes,,Yes,Yes,
JB Hi Fi,JB054,CASUARINA JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB145,CHADSONE HOMEMAKER CENTRE JB HI-FI,Completed, 13/03/2025,Yes,No,"Spoke to Johnny the merch coordinator, he went and looked for the info. Head office layout sent today doesn’t have the Asto flyer on it ",Yes,,Yes,Yes,
JB Hi Fi,JB021,CHADSTONE SHOPPING CENTRE JB HI-FI,Completed, 13/03/2025,Yes,Yes,Asked staff to help me find it by name and he wasn’t sure. When. I showed the visual he instantly recognized it ,Yes,,No,Yes,
JB Hi Fi,JB142,CHARLESTOWN JB HI-FI,Completed, 14/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB180,CHATSWOOD CHASE JB HIFI,Not Completed,,,,,,,,,
JB Hi Fi,JB050,CHATSWOOD JB HI-FI,Completed, 18/03/2025,No,No,Advised Allan he will follow up with merch manager.  ,Yes,N/A,Yes,Yes,
JB Hi Fi,JB066,CHERMSIDE JB HI-FI,Completed, 19/03/2025,Yes,Yes,,Yes,,Yes,Yes,This store is well stocked with   products. 
JB Hi Fi,JB167,CHIRNSIDE JB HI-FI,Completed, 10/03/2025,No,Yes,.,Yes,.,No,Yes,
JB Hi Fi,JB099,CLAREMONT QUATER JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB094,COCKBURN JB HI-FI,Completed, 14/03/2025,Yes,Yes,,Yes,,No,Yes,
JB Hi Fi,JB176,COFFS HARBOUR JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB061,COLONNADES HOME JB HI-FI,Completed, 12/03/2025,No,No,"Staff could not locate the promo, unaware of the promo ",No,,Yes,Yes,
JB Hi Fi,GTW717,COOMERA JB HI-FI,Completed, 12/03/2025,No,Yes,The Astro A10 flyer dosnt seem to be in store?,Yes,,Yes,Yes,
JB Hi Fi,JB189,CRAIGIEBURN JB HI-FI,Completed, 14/03/2025,No,No,A staff member went to the back to check for a flyer. I asked if it could be printed out,No,The shipper was swapped out ,Yes,Yes,
JB Hi Fi,JB090,CRANBOURNE JB HI-FI,Completed, 13/03/2025,No,Yes,,No,,No,No,
JB Hi Fi,JB205,CRANBOURNE PARK JB HIFI,Completed, 11/03/2025,Yes,Yes,,Yes,,Yes,No,
JB Hi Fi,JB003,DANDENONG JB HI-FI,Completed, 11/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB088,DONCASTER JB HI-FI,Completed, 13/03/2025,Yes,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB216,DUBBO JB HI-FI,Completed, 10/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB119,EASTGARDENS JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB065,ELIZABETH JB HI-FI,Completed, 11/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB075,EPPING PLAZA JB HI-FI,Completed, 14/03/2025,No,Yes,,No,"Spoke to Carmel, shipper located in reserve will be stet up today. Not enough time to complete.",Yes,Yes,
JB Hi Fi,JB032,ERINA JB HI-FI,Completed, 18/03/2025,Yes,Yes,,Yes,,Yes,Yes,Stire are near completion of stocktake and do not want anything touched or moved.
JB Hi Fi,JB068,ESSENDON AIRPORT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB147,FOREST HILL JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,GTW704,FORREST CHASE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB173,FOUNTAIN GATE JB HI-FI,Completed, 10/03/2025,Yes,No,,Yes,,No,No,
JB Hi Fi,JB153,FRANKSTON BAYSIDE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB017,FRANKSTON JB HI-FI HOME,Not Completed,,,,,,,,,
JB Hi Fi,JB097,FYSHWICK JB HI-FI,Completed, 14/03/2025,No,Yes,,No,Merch manager said that it was taken off display recently due to back to school. She said she can and will return it to the store. ,No,Yes,
JB Hi Fi,JB062,GEELONG JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB117,GEPPS CROSS JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB074,GLENDALE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,OMS8763,GOLD COAST AIRPORT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,GTW709,GREEN HILLS JB HI-FI,Completed, 14/03/2025,No,No,Chris - merch manager poster only on store plan to be displayed until 13-03 - visited in 14/03,Yes,,Yes,Yes,
JB Hi Fi,JB155,GREENSBOROUGH JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB211,HARBOUR TOWN JB HIFI,Completed, 14/03/2025,Yes,Yes,,Yes,,Yes,No,
JB Hi Fi,JB112,HELENSVALE JB HI-FI,Completed, 12/03/2025,No,Yes,,Yes,,No,Yes,
JB Hi Fi,JB168,HERVEY BAY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB013,HIGHPOINT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB080,HOBART JB HI-FI,Completed, 11/03/2025,Yes,No,Store does not have this Bundle.,Yes,,Yes,Yes,Store requires Dummy Boxes for Gaming  mouses
JB Hi Fi,JB193,HOMEBUSH JB HIFI,Completed, 14/03/2025,Yes,No,Not received 7,Yes,,Yes,Yes,
JB Hi Fi,JB156,HOPPERS CROSSING JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB043,HORNSBY JB HI-FI,Completed, 11/03/2025,No,Yes,"With Xboxes,  Shane copied whist in store and added to Playstation",Yes,N/a,Yes,Yes,Request Shane request can gaming have dummy boxes across entire range. Have noticed EB games had alot of Dummy boxes in range.  If so how do we order.  Looking at this option as a loss prevention. 
JB Hi Fi,JB209,HURSTVILLE JB HI-FI,Completed, 14/03/2025,Yes,No,I spoke to Chris and he will print and place the flyers,Yes,,Yes,Yes,
JB Hi Fi,JB195,INDOOROOPILLY SHOPPING CENTRE JB HI-FI,Completed, 12/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB071,IPSWICH JB HI-FI,Completed, 14/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB158,JAMISONTOWN JB HI-FI,Completed, 11/03/2025,No,Yes,,Yes,,Yes,Yes,All ultimate ears displays are working. 
JB Hi Fi,JB210,JOONDALUP HOME JB HIFI,Completed, 10/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,OMS8774,KARRINYUP JB HI-FI,Completed, 10/03/2025,Yes,No,store staff said they don’t usually keep a board specifically for   bundles. said they’d print and see what areas they may put it up,Yes,NA it was located,Yes,Yes,
JB Hi Fi,JB030,KAWANA WATERS JB HI FI,Completed, 17/03/2025,No,Yes,,Yes,,No,Yes,Store was in middle of stock take. Store was neat and well kept. Few promotions running as seen in photos. 
JB Hi Fi,JB022,KEDRON JB HIFI,Not Completed,,,,,,,,,
JB Hi Fi,JB010,KOTARA HOMEMAKER CENTRE JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,No,Yes,
JB Hi Fi,JB081,KOTARA WESTFIELD JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,No,Yes,
JB Hi Fi,JB098,LAKESIDE JOONDALUP JB HI-FI,Completed, 10/03/2025,Yes,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB212,LAUNCESTON HOME JB HI FI,Not Completed,,,,,,,,,
JB Hi Fi,JB040,LEICHHARDT JB HI-FI,Completed, 12/03/2025,Yes,No,,Yes,,Yes,Yes,
JB Hi Fi,JB060,LIVERPOOL JB HI-FI,Completed, 14/03/2025,No,No,Not received ,Yes,,Yes,Yes,
JB Hi Fi,JB045,LOGANHOLME JB HI-FI,Completed, 17/03/2025,Yes,No,No staff could locate the flyers,Yes,,Yes,Yes,
JB Hi Fi,JB055,MACARTHUR SQUARE JB HI-FI,Completed, 10/03/2025,No,No,Team member could not locate flyer.,Yes,,Yes,Yes,Tidied bays.
JB Hi Fi,JB162,MACKAY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB042,MACQUARIE JB HI-FI,Completed, 17/03/2025,Yes,No,,No,,Yes,Yes,
JB Hi Fi,JB096,MALAGA JB HI-FI,Completed, 10/03/2025,Yes,Yes,NA,Yes,NA,Yes,Yes,
JB Hi Fi,JB226,MANDURAH FORUM JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB141,MANDURAH HOME JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB059,MARIBYRNONG JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB031,MARION JB HI-FI,Completed, 12/03/2025,Yes,Yes,,No,,No,Yes,
JB Hi Fi,JB146,MAROOCHYDORE JB HI-FI,Completed, 17/03/2025,No,No,"Flyer not found, will look into it.  ",Yes,,No,Yes,
JB Hi Fi,JB217,MARSDEN PARK HOME JB HI-FI,Completed, 10/03/2025,No,Yes,,Yes,,Yes,Yes,Stock does slide backwards due to hooks being angled to the backboards. All ultimate ears displays are in working order. 
JB Hi Fi,JB041,MELBOURNE BOURKE ST JB HI-FI,Completed, 10/03/2025,Yes,No,,No,,Yes,No,
JB Hi Fi,JB086,MELBOURNE CENTRAL JB HI-FI,Completed, 10/03/2025,Yes,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB505,MELBOURNE ELIZABETH ST JB HI-FI,Completed, 10/03/2025,Yes,No,,No,,Yes,No,
JB Hi Fi,OMS8773,MELBOURNE INTERNATIONAL AIRPORT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB137,MELROSE PARK JB HI-FI,Completed, 12/03/2025,No,Yes,,Yes,,No,Yes,
JB Hi Fi,JB190,MELTON JB HI-FI,Completed, 12/03/2025,Yes,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB151,MERRYLANDS JB HI-FI,Completed, 12/03/2025,No,Yes,Team member printed/displayed   flyer after I told them during my visit.,Yes,,Yes,Yes,Tidied bays.
JB Hi Fi,GTW705,MIDLAND GATE JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB070,MIDLAND HOME JB HI-FI,Completed, 13/03/2025,No,Yes,Store could only find one flyer on their system so printed it out ,Yes,,Yes,Yes,Store is going through a new planogram for IT
JB Hi Fi,JB152,MILDURA JB HI-FI,Completed, 11/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB215,MILE END JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB049,MIRANDA JB HI-FI,Completed, 11/03/2025,Yes,Yes,Na,Yes,Na,Yes,Yes,All on display 
JB Hi Fi,JB038,MODBURY JB HI-FI,Completed, 14/03/2025,No,No,Lydia explained they don't have the space for as many flyers as other stores.,Yes,,Yes,Yes,
JB Hi Fi,JB125,MOORE PARK  JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB092,MORAYFIELD JB HI-FI,Completed, 14/03/2025,No,Yes,,Yes,,Yes,Yes,I completed all tasks. The way the gaming section is set up in this store it is very hard to take a wide photo of the whole display which is why I have taken 2 photos.
JB Hi Fi,OMS8765,MT BARKER HOME JB HI-FI,Completed, 12/03/2025,No,No,Has disappeared unknown where abouts per Voulia ,Yes,,No,Yes,
JB Hi Fi,JB057,MT DRUITT JB HI-FI,Completed, 12/03/2025,Yes,Yes,Limited space - printed them off and placed near desk for customer exposure. ,Yes,,Yes,No,Store is not big enough for a dedicated racing section. So flyers on display as per photo is all there is.   and flyer will be placed on pole as there is limited advertising space due to being a smaller store. 
JB Hi Fi,GTW718,MT GRAVATT JB HI-FI,Completed, 11/03/2025,No,Yes,,Yes,,No,Yes,
JB Hi Fi,JB164,MT GRAVATT WESTFIELD JB HI-FI,Completed, 10/03/2025,Yes,Yes,,No,,No,Yes,
JB Hi Fi,JB140,MT OMMANEY JB HI-FI,Completed, 11/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB149,MUNNO PARRA JB HI-FI,Completed, 13/03/2025,Yes,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB069,MYAREE HOME JB HI-FI,Completed, 10/03/2025,Yes,Yes,Got them printed while in store,Yes,,Yes,Yes,
JB Hi Fi,JB224,NARELLAN JB HIFI,Completed, 10/03/2025,No,No,Team member mentioned not enough space for flyer.,Yes,,Yes,Yes,Tidied bays.
JB Hi Fi,JB037,NARRE WARREN JB HI-FI,Completed, 10/03/2025,No,No,,No,,No,No,
JB Hi Fi,JB221,NORTH LAKES JB HI-FI,Completed, 11/03/2025,Yes,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB181,NORTH SYDNEY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB135,NORTHLAND JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,OMS8761,NOWRA HOME JB  HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,No,Yes,
JB Hi Fi,JB006,NUNAWADING JB HI-FI,Completed, 11/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB194,OCEAN KEYS JB HIFI,Completed, 10/03/2025,No,Yes,,Yes,,No,Yes,
JB Hi Fi,JB208,ORION SPRINGFIELD HOME JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB028,OSBORNE PARK JB HI-FI,Completed, 13/03/2025,Yes,Yes,,Yes,,Yes,Yes, all stock was pulled forward and any low stock was told to store (had no current OOS on shelf)
JB Hi Fi,JB172,OXLEY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB197,PACIFIC FAIR HOME JB HIFI,Completed, 10/03/2025,Yes,Yes,N/A,Yes,Shipper located but ordered new price tickets .,Yes,Yes,
JB Hi Fi,JB203,PAKENHAM JB HIFI,Completed, 13/03/2025,Yes,No,,No,,Yes,No,
JB Hi Fi,OMS8771,PARKMORE JB HI-FI,Completed, 11/03/2025,No,Yes,,No,Store is too small for shipper,No,Yes,
JB Hi Fi,JB084,PARRAMATTA WESTFIELD JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB056,PENRITH WESTFIELD JB HI-FI,Completed, 11/03/2025,No,Yes,,Yes,,Yes,Yes,All displays for ultimate ears are working. 
JB Hi Fi,OMS8775,PERTH INTERNATIONAL AIRPORT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB089,PLENTY VALLEY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB169,PORT MACQUARIE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,GTW702,PRESTON HOME JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB025,RINGWOOD JB HI-FI,Completed, 10/03/2025,Yes,Yes,,Yes,,No,Yes,
JB Hi Fi,JB048,ROBINA JB HI-FI,Completed, 10/03/2025,Yes,Yes,N/A,Yes,N/A,Yes,Yes,
JB Hi Fi,JB120,ROCKHAMPTON JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,Yes,Yes,Staff keep the displays looking nice and well stocked
JB Hi Fi,JB100,ROCKINGHAM CITY JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB191,ROSELANDS JB HIFI,Completed, 14/03/2025,No,Yes,Suzie is going to print and display the g535,Yes,,Yes,Yes,
JB Hi Fi,GTW707,ROSNY PARK JB HI-FI,Completed, 11/03/2025,No,No,Store does not have this Bundle,Yes,,Yes,Yes,"Need new shipper for New Start, New Gear - Damaged. Store has requested Dummy Boxes across all ranges."
JB Hi Fi,JB079,ROUSE HILL JB HI-FI,Completed, 15/03/2025,No,Yes,,Yes,,Yes,No,
JB Hi Fi,JB123,SHEPPARTON  JB HI-FI,Completed, 12/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB124,SOUTH WHARF DFO HOME JB HI-FI,Completed, 10/03/2025,No,Yes,,Yes,,No,Yes,
JB Hi Fi,JB052,SOUTHLAND JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB163,SPRINGVALE JB HI-FI,Completed, 14/03/2025,No,No,Staff will check their system and display flyer once they found it.,Yes,,No,Yes,
JB Hi Fi,JB085,STRAND ARCADE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,GTW719,SUNSHINE PLAZA JB HI-FI,Completed, 17/03/2025,Yes,No,"No flyer, spoke with staff. Also looking into it. ",Yes,,No,Yes,
JB Hi Fi,GTW713,SYDNEY DOMESTIC AIRPORT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,GTW714,SYDNEY INTERNATIONAL AIRPORT JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB036,SYDNEY THE GALLERIES JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB150,SYDNEY WESTFIELD JB HI FI,Not Completed,,,,,,,,,
JB Hi Fi,JB179,TAMWORTH JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB072,TAYLORS LAKES (WATER GARDENS) JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB174,THE GLEN JB HI-FI,Completed, 14/03/2025,No,No,Staff will check system and display flyer.,Yes,,Yes,Yes,
JB Hi Fi,JB161,THOMASTOWN JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB076,TOOWOOMBA JB HI-FI,Completed, 10/03/2025,Yes,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB128,TOP RYDE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB083,TOWNSVILLE JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB159,TRARALGON JB HI-FI,Completed, 11/03/2025,No,Yes,,No,Shipper was thrown out a few weeks back as they no longer felt they needed it  as thwy do nif gave suffiecient stick to full it.   aAll stock has been relocated into their related sections (eg. new computer mice  now in IT section)  ,No,Yes,Merch team very helpful  have recently lost a few  team members and are actively recruiting.  Some training around gaming products may be useful once they settle in. be
JB Hi Fi,JB047,TUGGERAH JB HI-FI,Completed, 10/03/2025,No,Yes,On an end a few rows from products,Yes,Shipper in middle of main walking isle,Yes,Yes,
JB Hi Fi,JB177,TUGGERANONG JB HI-FI,Completed, 11/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB093,TWEED CITY JB HI-FI,Completed, 12/03/2025,No,Yes,,Yes,,No,Yes,
JB Hi Fi,OMS8770,VICTORIA GARDENS JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB136,WAGGA WAGGA JB HI-FI,Completed, 14/03/2025,No,No,,No,,No,No,
JB Hi Fi,JB008,WANTIRNA KNOX JB HI-FI,Completed, 14/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB067,WARRAWONG JB HI-FI,Completed, 11/03/2025,No,No,Flyer wasn’t found. Employee was going to try and find out why it is not on display,Yes,,Yes,Yes,
JB Hi Fi,GTW715,WARRIEWOOD JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB051,WARRINGAH MALL JB HI-FI,Completed, 11/03/2025,Yes,Yes,Only location headed gaming,Yes,,Yes,Yes,Both wireless gaming mouse staff reported that high theft can they have dummy boxes. 
JB Hi Fi,OMS8769,WARRNAMBOOL HOME JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB165,WAURN PONDS JB HI-FI,Not Completed,,,,,,,,,
JB Hi Fi,JB035,WERRIBEE PLAZA JB HI-FI,Completed, 13/03/2025,Yes,Yes,Flyer was found.,Yes,,No,No,Additional time would be needed to complete all reporting questions.
JB Hi Fi,JB078,WESTLAKES JB HIFI,Not Completed,,,,,,,,,
JB Hi Fi,JB202,WETHERILL PARK JB HIFI,Completed, 11/03/2025,No,No,"I asked merch manager to print/display flyers, they will do it later today.",Yes,,Yes,Yes,Tidied displays.
JB Hi Fi,JB044,WHITFORD JB HI-FI,Completed, 11/03/2025,No,Yes,NA,Yes,NA,Yes,Yes,Epicboom display speaker not working 
JB Hi Fi,JB126,WILLOWS SHOPPINGTOWN JB HI FI,Not Completed,,,,,,,,,
JB Hi Fi,JB016,WODEN JB HI-FI,Completed, 14/03/2025,Yes,Yes,There is no flyer of G535. The staff in charge of the section is not in store today. The staff I talked to said they will check again in their system. ,Yes,,Yes,Yes,
JB Hi Fi,JB130,WOLLONGONG CENTRAL JB HI-FI,Completed, 13/03/2025,No,Yes,,Yes,,Yes,Yes,
JB Hi Fi,JB127,WORLD SQUARE SYDNEY JB HI-FI,Not Completed,,,,,,,,,
